name,description,value,range_id
SMMLV,Salario Minimo Mensual Legal Vigente,532500,2011
UVR,Unidad Valor Representativo,25132,2011
AT,Auxilio Transporte,63600,2011
SMMLV,Salario Minimo Mensual Legal Vigente,566700,2012
UVR,Unidad Valor Representativo,26049,2012
AT,Auxilio Transporte,67800,2012
SMMLV,Salario Minimo Mensual Legal Vigente,589500,2013
UVR,Unidad Valor Representativo,26841,2013
AT,Auxilio Transporte,70500,2013
SMMLV,Salario Minimo Mensual Legal Vigente,616000,2014
UVR,Unidad Valor Representativo,27485,2014
AT,Auxilio Transporte,72000,2014
SMMLV,Salario Minimo Mensual Legal Vigente,644336,2015
UVR,Unidad Valor Representativo,28279,2015
AT,Auxilio Transporte,73944,2015
SMMLV,Salario Minimo Mensual Legal Vigente,684454,2016
UVR,Unidad Valor Representativo,29753,2016
AT,Auxilio Transporte,77700,2016
SMMLV,Salario Minimo Mensual Legal Vigente,737717,2017
UVR,Unidad Valor Representativo,31859,2017
AT,Auxilio Transporte,83140,2017
SMMLV,Salario Minimo Mensual Legal Vigente,781242,2018
UVR,Unidad Valor Representativo,33156,2018
AT,Auxilio Transporte,88211,2018
SMMLV,Salario Minimo Mensual Legal Vigente,814000,2019
UVR,Unidad Valor Representativo,34000,2019
AT,Auxilio Transporte,85000,2019
