id,process,massive_id:id,description,condition,model_id,to_update,to_load,to_create
ie_massive_line_Massive_Filter,TRUE,ie_massive_Massive,Filter,"[[[1,'=',1]]]",ie.massive.filter,TRUE,TRUE,FALSE
ie_massive_line_Massive_Massive,TRUE,ie_massive_Massive,Massive,"[[[1,'=',1]]]",ie.massive,TRUE,TRUE,FALSE
ie_massive_line_Massive_Maps,TRUE,ie_massive_Map,Lines,"[[[1,'=',1]]]",ie.massive.map,TRUE,TRUE,FALSE
ie_massive_line_Base_Date_Ranges,TRUE,ie_massive_Bases,Date Range,"[[[1,'=',1]]]",date.range,TRUE,TRUE,FALSE
ie_massive_line_Base_Accounts,TRUE,ie_massive_Bases,Accounts,"[[[1,'=',1]]]",account.account,TRUE,TRUE,FALSE
ie_massive_line_Accounts_Groups,TRUE,ie_massive_Accounts,Groups,"[[[1,'=',1]]]",account.group,TRUE,TRUE,FALSE
ie_massive_line_Accounts_Accounts,TRUE,ie_massive_Accounts,Accounts,"[[[1,'=',1]]]",account.account,TRUE,TRUE,FALSE
ie_massive_line_Assets_Categories,TRUE,ie_massive_Assets,Categories,"[[[1,'=',1]]]",account.asset,TRUE,TRUE,FALSE
ie_massive_line_Assets_Accounts,TRUE,ie_massive_Assets,Analytic Accounts,"[[[1,'=',1]]]",account.analytic.account,TRUE,TRUE,FALSE
ie_massive_line_Assets_Partners,TRUE,ie_massive_Assets,Partners,"[[[1,'=',1]]]",res.partner,TRUE,TRUE,FALSE
ie_massive_line_Assets_Assets,TRUE,ie_massive_Assets,Assets,"[[[1,'=',1]]]",account.asset,TRUE,TRUE,FALSE
ie_massive_line_Employees_Groups,TRUE,ie_massive_Employees,Departments,"[[[1,'=',1]]]",hr.department,TRUE,TRUE,FALSE
ie_massive_line_Employees_Departments,TRUE,ie_massive_Employees,Departments,"[[[1,'=',1]]]",hr.department,TRUE,TRUE,FALSE
ie_massive_line_Employees_Jobs,TRUE,ie_massive_Employees,Jobs,"[[[1,'=',1]]]",hr.job,TRUE,TRUE,FALSE
ie_massive_line_Employees_Employee_Partners,TRUE,ie_massive_Employees,Employee Partners,"[[[1,'=',1]]]",res.partner,TRUE,TRUE,FALSE
ie_massive_line_Employees_Employee_Accounts,TRUE,ie_massive_Employees,Employee Accounts,"[[[1,'=',1]]]",res.partner.bank,TRUE,TRUE,FALSE
ie_massive_line_Employees_Employees,TRUE,ie_massive_Employees,Employees,"[[[1,'=',1]]]",hr.employee,TRUE,TRUE,FALSE
ie_massive_line_Employees_Contracts,TRUE,ie_massive_Contracts,Contracts,"[[[1,'=',1]]]",hr.contract,TRUE,TRUE,FALSE
ie_massive_line_Entries_Balance,TRUE,ie_massive_Entries,Balance,"[[[1,'=',1]]]",account.move,TRUE,TRUE,FALSE
ie_massive_line_Entries_Cash,TRUE,ie_massive_Entries,Cash,"[[[1,'=',1]]]",account.move,TRUE,TRUE,FALSE
ie_massive_line_Entries_Investments,TRUE,ie_massive_Entries,Investments,"[[[1,'=',1]]]",account.move,TRUE,TRUE,FALSE
ie_massive_line_Entries_Receivables,TRUE,ie_massive_Entries,Receivables,"[[[1,'=',1]]]",account.move,TRUE,TRUE,FALSE
ie_massive_line_Entries_Inventories,TRUE,ie_massive_Entries,Inventories,"[[[1,'=',1]]]",account.move,TRUE,TRUE,FALSE
ie_massive_line_Entries_Assets,TRUE,ie_massive_Entries,Assets,"[[[1,'=',1]]]",account.move,TRUE,TRUE,FALSE
ie_massive_line_Entries_Other_Assets,TRUE,ie_massive_Entries,Other Assets,"[[[1,'=',1]]]",account.move,TRUE,TRUE,FALSE
ie_massive_line_Entries_Payables,TRUE,ie_massive_Entries,Payables,"[[[1,'=',1]]]",account.move,TRUE,TRUE,FALSE
ie_massive_line_Entries_Taxes,TRUE,ie_massive_Entries,Taxes,"[[[1,'=',1]]]",account.move,TRUE,TRUE,FALSE
ie_massive_line_Entries_Other_Liabilities,TRUE,ie_massive_Entries,Other Liabilities,"[[[1,'=',1]]]",account.move,TRUE,TRUE,FALSE
ie_massive_line_Entries_Equities,TRUE,ie_massive_Entries,Equities,"[[[1,'=',1]]]",account.move,TRUE,TRUE,FALSE
ie_massive_line_Entries_Incomes,TRUE,ie_massive_Entries,Incomes,"[[[1,'=',1]]]",account.move,TRUE,TRUE,FALSE
ie_massive_line_Entries_Expenses,TRUE,ie_massive_Entries,Expenses,"[[[1,'=',1]]]",account.move,TRUE,TRUE,FALSE
ie_massive_line_Entries_Sale_Expenses,TRUE,ie_massive_Entries,Sale Expenses,"[[[1,'=',1]]]",account.move,TRUE,TRUE,FALSE
ie_massive_line_Entries_Other_Expenses,TRUE,ie_massive_Entries,Other Expenses,"[[[1,'=',1]]]",account.move,TRUE,TRUE,FALSE
ie_massive_line_Entries_Costs,TRUE,ie_massive_Entries,Costs,"[[[1,'=',1]]]",account.move,TRUE,TRUE,FALSE
ie_massive_line_Entries_Auxiliaries,TRUE,ie_massive_Entries,Auxiliaries,"[[[1,'=',1]]]",account.move,TRUE,TRUE,FALSE
ie_massive_line_Partners_Partners,TRUE,ie_massive_Partners,partner,"[[[1,'=',1]]]",res.partner,TRUE,TRUE,FALSE
ie_massive_line_Partners_Vendors,TRUE,ie_massive_Partners,vendor,"[[[1,'=',1]]]",res.partner,TRUE,TRUE,FALSE
ie_massive_line_Partners_Customers,TRUE,ie_massive_Partners,customer,"[[[1,'=',1]]]",res.partner,TRUE,TRUE,FALSE
ie_massive_line_Partners_Employees,TRUE,ie_massive_Partners,employee,"[[[1,'=',1]]]",res.partner,TRUE,TRUE,FALSE
ie_massive_line_Partners_Users,TRUE,ie_massive_Partners,users,"[[[1,'=',1]]]",res.partner,TRUE,TRUE,FALSE
ie_massive_line_Payrolls_Payrolls,TRUE,ie_massive_Payrolls,Payroll,"[[[1,'=',1]]]",hr.payslip.input,TRUE,TRUE,FALSE
ie_massive_line_Purchases_Orders,TRUE,ie_massive_Purchases,Orders,"[[[1,'=',1]]]",purchase.order,TRUE,TRUE,FALSE
ie_massive_line_Purchases_CEN,TRUE,ie_massive_Purchases,CEN,"[[[1,'=',1]]]",purchase.order,TRUE,TRUE,FALSE
ie_massive_line_Purchases_Receptions,TRUE,ie_massive_Purchases,Receptions,"[[[1,'=',1]]]",stock.move.line,TRUE,TRUE,FALSE
ie_massive_line_Inventories_Inventories,TRUE,ie_massive_Inventories,Inventories,"[[[1,'=',1]]]",account.move,TRUE,TRUE,FALSE
ie_massive_line_Leaves_Leaves,TRUE,ie_massive_Leaves,Leaves,"[[[1,'=',1]]]",account.move,TRUE,TRUE,FALSE
ie_massive_line_Purchase_Massives,TRUE,ie_massive_Purchases,Massives,"[[[1,'=',1]]]",massive.purchase,TRUE,TRUE,FALSE
ie_massive_line_Products_Milk_Prices,TRUE,ie_massive_Products,Milk Prices,"[[[1,'=',1]]]",account.move,TRUE,TRUE,FALSE
