id,code,name,magnetic_id:id
l10n_co_mml_1001_5002,5002,Honorarios de renta no laboral,l10n_co_accounting_magnetic_media.l10n_co_accounting_media_magnetic_1001
l10n_co_mml_1001_5003,5003,Comisiones de renta no laboral,l10n_co_accounting_magnetic_media.l10n_co_accounting_media_magnetic_1001
l10n_co_mml_1001_5004,5004,Servicios de renta no laboral,l10n_co_accounting_magnetic_media.l10n_co_accounting_media_magnetic_1001
l10n_co_mml_1001_5005,5005,Arrendamientos,l10n_co_accounting_magnetic_media.l10n_co_accounting_media_magnetic_1001
l10n_co_mml_1001_5006,5006,Intereses y rendimientos financieros,l10n_co_accounting_magnetic_media.l10n_co_accounting_media_magnetic_1001
l10n_co_mml_1001_5007,5007,Compra de activos movibles (E.T. Artículo 60),l10n_co_accounting_magnetic_media.l10n_co_accounting_media_magnetic_1001
l10n_co_mml_1001_5008,5008,Compra de activos fijos (E.T. Artículo 60),l10n_co_accounting_magnetic_media.l10n_co_accounting_media_magnetic_1001
l10n_co_mml_1001_5010,5010,"Los pagos o abonos en cuenta por concepto de aportes parafiscales al Sena, a las Cajas de Compensación Familiar y al Instituto Colombiano de Bienestar Familiar.",l10n_co_accounting_magnetic_media.l10n_co_accounting_media_magnetic_1001
l10n_co_mml_1001_5011,5011,"Los pagos o abonos en cuenta efectuados a las empresas promotoras de salud EPS y los aportes al Sistema de Riesgos Laborales, incluidos los aportes del trabajador.",l10n_co_accounting_magnetic_media.l10n_co_accounting_media_magnetic_1001
l10n_co_mml_1001_5012,5012,"Los pagos o abonos en cuenta por concepto de aportes obligatorios para pensiones efectuados a los Fondos de Pensiones, incluidos los aportes del trabajador, en el concepto 5012.",l10n_co_accounting_magnetic_media.l10n_co_accounting_media_magnetic_1001
l10n_co_mml_1001_5013,5013,"Las donaciones en dinero efectuadas, a las entidades señaladas en los artículos 125, 125-4, 126-2 y 158-1 del Estatuto Tributario y la establecida en el artículo 16 de la Ley 814 de 2003, y demás que determine la ley.",l10n_co_accounting_magnetic_media.l10n_co_accounting_media_magnetic_1001
l10n_co_mml_1001_5014,5014,"Las donaciones en activos diferentes a dinero efectuadas a las entidades señaladas en los artículos 125, 125-4, 126-2 y 158-1 del Estatuto Tributario y la establecida en el artículo 16 de la Ley 814 de 2003, y demás que determine la ley.",l10n_co_accounting_magnetic_media.l10n_co_accounting_media_magnetic_1001
l10n_co_mml_1001_5015,5015,El valor de los impuestos solicitados como deducción.,l10n_co_accounting_magnetic_media.l10n_co_accounting_media_magnetic_1001
l10n_co_mml_1001_5016,5016,Los demás costos y deducciones.,l10n_co_accounting_magnetic_media.l10n_co_accounting_media_magnetic_1001
l10n_co_mml_1001_5018,5018,El importe de las primas de reaseguros pagados o abonados en cuenta.,l10n_co_accounting_magnetic_media.l10n_co_accounting_media_magnetic_1001
l10n_co_mml_1001_5019,5019,El monto de las amortizaciones realizadas.,l10n_co_accounting_magnetic_media.l10n_co_accounting_media_magnetic_1001
l10n_co_mml_1001_5023,5023,El valor acumulado de los pagos o abonos en cuenta al exterior por asistencia técnica.,l10n_co_accounting_magnetic_media.l10n_co_accounting_media_magnetic_1001
l10n_co_mml_1001_5024,5024,El valor acumulado de los pagos o abonos en cuenta al exterior por marcas.,l10n_co_accounting_magnetic_media.l10n_co_accounting_media_magnetic_1001
l10n_co_mml_1001_5025,5025,El valor acumulado de los pagos o abonos en cuenta al exterior por patentes.,l10n_co_accounting_magnetic_media.l10n_co_accounting_media_magnetic_1001
l10n_co_mml_1001_5026,5026,El valor acumulado de los pagos o abonos en cuenta al exterior por regalías.,l10n_co_accounting_magnetic_media.l10n_co_accounting_media_magnetic_1001
l10n_co_mml_1001_5027,5027,El valor acumulado de los pagos o abonos en cuenta al exterior por servicios técnicos.,l10n_co_accounting_magnetic_media.l10n_co_accounting_media_magnetic_1001
l10n_co_mml_1001_5028,5028,El valor acumulado de la devolución de pagos o abonos en cuenta y retenciones correspondientes a operaciones de años anteriores.,l10n_co_accounting_magnetic_media.l10n_co_accounting_media_magnetic_1001
l10n_co_mml_1001_5029,5029,Gastos pagados por anticipado por Compras,l10n_co_accounting_magnetic_media.l10n_co_accounting_media_magnetic_1001
l10n_co_mml_1001_5030,5030,Gastos pagados por anticipado por Honorarios de renta no laboral,l10n_co_accounting_magnetic_media.l10n_co_accounting_media_magnetic_1001
l10n_co_mml_1001_5031,5031,Gastos pagados por anticipado por Comisiones de renta no laboral,l10n_co_accounting_magnetic_media.l10n_co_accounting_media_magnetic_1001
l10n_co_mml_1001_5032,5032,Gastos pagados por anticipado por Servicios de renta no laboral,l10n_co_accounting_magnetic_media.l10n_co_accounting_media_magnetic_1001
l10n_co_mml_1001_5033,5033,Gastos pagados por anticipado por arrendamientos,l10n_co_accounting_magnetic_media.l10n_co_accounting_media_magnetic_1001
l10n_co_mml_1001_5034,5034,Gastos pagados por anticipado por Intereses y rendimientos financieros,l10n_co_accounting_magnetic_media.l10n_co_accounting_media_magnetic_1001
l10n_co_mml_1001_5035,5035,Gastos pagados por anticipado por otros conceptos,l10n_co_accounting_magnetic_media.l10n_co_accounting_media_magnetic_1001
l10n_co_mml_1001_5043,5043,El valor de las participaciones o dividendos pagados o abonados en cuenta en calidad de exigibles.,l10n_co_accounting_magnetic_media.l10n_co_accounting_media_magnetic_1001
l10n_co_mml_1001_5044,5044,"El pago por loterías, rifas, apuestas y similares.",l10n_co_accounting_magnetic_media.l10n_co_accounting_media_magnetic_1001
l10n_co_mml_1001_5045,5045,Retención sobre ingresos de tarjetas débito y crédito.,l10n_co_accounting_magnetic_media.l10n_co_accounting_media_magnetic_1001
l10n_co_mml_1001_5046,5046,Enajenación de activos fijos de personas naturales ante oficinas de tránsito y otras entidades autorizadas.,l10n_co_accounting_magnetic_media.l10n_co_accounting_media_magnetic_1001
l10n_co_mml_1001_5047,5047,El importe de los siniestros por lucro cesante pagados o abonados en cuenta.,l10n_co_accounting_magnetic_media.l10n_co_accounting_media_magnetic_1001
l10n_co_mml_1001_5048,5048,El importe de los siniestros por daño emergente pagados o abonados en cuenta.,l10n_co_accounting_magnetic_media.l10n_co_accounting_media_magnetic_1001
l10n_co_mml_1001_5059,5059,"El pago o abono en cuenta realizado a cada uno de los cooperados, del valor del Fondo para revalorización de aportes.",l10n_co_accounting_magnetic_media.l10n_co_accounting_media_magnetic_1001
l10n_co_mml_1001_5053,5053,Retenciones practicadas a título de timbre.,l10n_co_accounting_magnetic_media.l10n_co_accounting_media_magnetic_1001
l10n_co_mml_1001_5054,5054,"La devolución de retenciones a título de impuesto de timbre, correspondientes a operaciones de años anteriores.",l10n_co_accounting_magnetic_media.l10n_co_accounting_media_magnetic_1001
l10n_co_mml_1001_5055,5055,Viáticos,l10n_co_accounting_magnetic_media.l10n_co_accounting_media_magnetic_1001
l10n_co_mml_1001_5056,5056,Gastos de representación,l10n_co_accounting_magnetic_media.l10n_co_accounting_media_magnetic_1001
l10n_co_mml_1001_5058,5058,"El valor de los aportes, tasas y contribuciones solicitados como deducción.",l10n_co_accounting_magnetic_media.l10n_co_accounting_media_magnetic_1001
l10n_co_mml_1001_5060,5060,Redención de inversiones en lo que corresponde al rembolso del capital por títulos de capitalización.,l10n_co_accounting_magnetic_media.l10n_co_accounting_media_magnetic_1001
l10n_co_mml_1001_5061,5061,"Las utilidades pagadas o abonadas en cuenta, cuando el beneficiario es diferente al fideicomitente.",l10n_co_accounting_magnetic_media.l10n_co_accounting_media_magnetic_1001
l10n_co_mml_1001_5063,5063,Intereses y rendimientos financieros pagados,l10n_co_accounting_magnetic_media.l10n_co_accounting_media_magnetic_1001
l10n_co_mml_1001_5064,5064,Devoluciones de saldos de aportes pensionales pagados.,l10n_co_accounting_magnetic_media.l10n_co_accounting_media_magnetic_1001
l10n_co_mml_1001_5065,5065,Excedentes pensionales de libre disponibilidad componente de capital pagados.,l10n_co_accounting_magnetic_media.l10n_co_accounting_media_magnetic_1001
l10n_co_mml_1001_5066,5066,El valor del impuesto al consumo solicitado como deducción.,l10n_co_accounting_magnetic_media.l10n_co_accounting_media_magnetic_1001
l10n_co_mml_1001_5067,5067,El valor acumulado de los pagos o abonos en cuenta al exterior por consultoría.,l10n_co_accounting_magnetic_media.l10n_co_accounting_media_magnetic_1001
l10n_co_mml_1003_1301,1301,Retención por salarios prestaciones y demás pagos laborales,l10n_co_accounting_magnetic_media.l10n_co_accounting_media_magnetic_1003
l10n_co_mml_1003_1302,1302,Retención por ventas,l10n_co_accounting_magnetic_media.l10n_co_accounting_media_magnetic_1003
l10n_co_mml_1003_1303,1303,Retención por servicios,l10n_co_accounting_magnetic_media.l10n_co_accounting_media_magnetic_1003
l10n_co_mml_1003_1302,1302,Retención por ventas,l10n_co_accounting_magnetic_media.l10n_co_accounting_media_magnetic_1003
l10n_co_mml_1003_1303,1303,Retención por servicios,l10n_co_accounting_magnetic_media.l10n_co_accounting_media_magnetic_1003
l10n_co_mml_1003_1304,1304,Retención por honorarios,l10n_co_accounting_magnetic_media.l10n_co_accounting_media_magnetic_1003
l10n_co_mml_1003_1305,1305,Retención por comisiones,l10n_co_accounting_magnetic_media.l10n_co_accounting_media_magnetic_1003
l10n_co_mml_1003_1306,1306,Retención por intereses y rendimientos financieros,l10n_co_accounting_magnetic_media.l10n_co_accounting_media_magnetic_1003
