id,name
l10n_co_aat_1001_5002_M,1001:5002:M
l10n_co_aat_1001_5002_N,1001:5002:N
l10n_co_aat_1001_5002_O,1001:5002:O
l10n_co_aat_1001_5002_P,1001:5002:P
l10n_co_aat_1001_5002_Q,1001:5002:Q
l10n_co_aat_1001_5002_R,1001:5002:R
l10n_co_aat_1001_5002_S,1001:5002:S
l10n_co_aat_1001_5002_T,1001:5002:T
l10n_co_aat_1001_5003_M,1001:5003:M
l10n_co_aat_1001_5003_N,1001:5003:N
l10n_co_aat_1001_5003_O,1001:5003:O
l10n_co_aat_1001_5003_P,1001:5003:P
l10n_co_aat_1001_5003_Q,1001:5003:Q
l10n_co_aat_1001_5003_R,1001:5003:R
l10n_co_aat_1001_5003_S,1001:5003:S
l10n_co_aat_1001_5003_T,1001:5003:T
l10n_co_aat_1001_5004_M,1001:5004:M
l10n_co_aat_1001_5004_N,1001:5004:N
l10n_co_aat_1001_5004_O,1001:5004:O
l10n_co_aat_1001_5004_P,1001:5004:P
l10n_co_aat_1001_5004_Q,1001:5004:Q
l10n_co_aat_1001_5004_R,1001:5004:R
l10n_co_aat_1001_5004_S,1001:5004:S
l10n_co_aat_1001_5004_T,1001:5004:T
l10n_co_aat_1001_5005_M,1001:5005:M
l10n_co_aat_1001_5005_N,1001:5005:N
l10n_co_aat_1001_5005_O,1001:5005:O
l10n_co_aat_1001_5005_P,1001:5005:P
l10n_co_aat_1001_5005_Q,1001:5005:Q
l10n_co_aat_1001_5005_R,1001:5005:R
l10n_co_aat_1001_5005_S,1001:5005:S
l10n_co_aat_1001_5005_T,1001:5005:T
l10n_co_aat_1001_5006_M,1001:5006:M
l10n_co_aat_1001_5006_N,1001:5006:N
l10n_co_aat_1001_5006_O,1001:5006:O
l10n_co_aat_1001_5006_P,1001:5006:P
l10n_co_aat_1001_5006_Q,1001:5006:Q
l10n_co_aat_1001_5006_R,1001:5006:R
l10n_co_aat_1001_5006_S,1001:5006:S
l10n_co_aat_1001_5006_T,1001:5006:T
l10n_co_aat_1001_5007_M,1001:5007:M
l10n_co_aat_1001_5007_N,1001:5007:N
l10n_co_aat_1001_5007_O,1001:5007:O
l10n_co_aat_1001_5007_P,1001:5007:P
l10n_co_aat_1001_5007_Q,1001:5007:Q
l10n_co_aat_1001_5007_R,1001:5007:R
l10n_co_aat_1001_5007_S,1001:5007:S
l10n_co_aat_1001_5007_T,1001:5007:T
