id,position_id:id,tax_src_id:id,tax_dest_id:id,company_fiscal_position_id:id
l10n_co_fis_pos_tax_tem_com_cau_cau_rtefte_1_5_gt,l10n_co_fis_pos_tem_com_cau,tax_tem_com_rtefte_1_5gt,tax_tem_com_aurte_1_5gt_bs,l10n_co_fis_pos_tem_com_cau
l10n_co_fis_pos_tax_tem_com_cau_cau_rtefte_1_5_gt_bis,l10n_co_fis_pos_tem_com_cau,tax_tem_com_rtefte_1_5gt,tax_tem_com_aurte_1_5gt_sl,l10n_co_fis_pos_tem_com_cau
l10n_co_fis_pos_tax_tem_com_cau_cau_rtefte_1_5_lt,l10n_co_fis_pos_tem_com_cau,tax_tem_com_rtefte_1_5lt,,l10n_co_fis_pos_tem_com_cau
l10n_co_fis_pos_tax_tem_com_cau_cau_rtefte_1_gt,l10n_co_fis_pos_tem_com_cau,tax_tem_com_rtefte_1gt,tax_tem_com_aurte_1gt_bs,l10n_co_fis_pos_tem_com_cau
l10n_co_fis_pos_tax_tem_com_cau_cau_rtefte_1_gt_bis,l10n_co_fis_pos_tem_com_cau,tax_tem_com_rtefte_1gt,tax_tem_com_aurte_1gt_sl,l10n_co_fis_pos_tem_com_cau
l10n_co_fis_pos_tax_tem_com_cau_cau_rtefte_1_lt,l10n_co_fis_pos_tem_com_cau,tax_tem_com_rtefte_1lt,,l10n_co_fis_pos_tem_com_cau
l10n_co_fis_pos_tax_tem_com_cau_cau_rtefte_11_gt,l10n_co_fis_pos_tem_com_cau,tax_tem_com_rtefte_11gt,tax_tem_com_aurte_11gt_bs,l10n_co_fis_pos_tem_com_cau
l10n_co_fis_pos_tax_tem_com_cau_cau_rtefte_11_gt_bis,l10n_co_fis_pos_tem_com_cau,tax_tem_com_rtefte_11gt,tax_tem_com_aurte_11gt_sl,l10n_co_fis_pos_tem_com_cau
l10n_co_fis_pos_tax_tem_com_cau_cau_rtefte_11_lt,l10n_co_fis_pos_tem_com_cau,tax_tem_com_rtefte_11lt,,l10n_co_fis_pos_tem_com_cau
l10n_co_fis_pos_tax_tem_com_cau_cau_rtefte_2_5_gt,l10n_co_fis_pos_tem_com_cau,tax_tem_com_rtefte_2_5gt,tax_tem_com_aurte_2_5gt_bs,l10n_co_fis_pos_tem_com_cau
