id,chart_template_id:id,name
l10n_co_fis_pos_tem_com_cmu,l10n_co_chart_template_comercial,Común
l10n_co_fis_pos_tem_com_sim,l10n_co_chart_template_comercial,Simplificado
l10n_co_fis_pos_tem_com_gco,l10n_co_chart_template_comercial,Gran Contribuyente
l10n_co_fis_pos_tem_com_int,l10n_co_chart_template_comercial,Internacional
l10n_co_fis_pos_tem_com_gna,l10n_co_chart_template_comercial,Gran Contribuyente No Autorretenedor
l10n_co_fis_pos_tem_com_sde,l10n_co_chart_template_comercial,Simplificado Declarante
l10n_co_fis_pos_tem_com_cau,l10n_co_chart_template_comercial,Común Autoretenedor
l10n_co_fis_pos_tem_com_cnd,l10n_co_chart_template_comercial,Común No Declarante
l10n_co_fis_pos_tem_com_adm,l10n_co_chart_template_comercial,Interno Administracion
l10n_co_fis_pos_tem_com_vta,l10n_co_chart_template_comercial,Interno Ventas
l10n_co_fis_pos_tem_com_prd,l10n_co_chart_template_comercial,Interno Produccion
l10n_co_fis_pos_tem_fin_cmu,l10n_co_chart_template_financiero,Común
l10n_co_fis_pos_tem_fin_sim,l10n_co_chart_template_financiero,Simplificado
l10n_co_fis_pos_tem_fin_gco,l10n_co_chart_template_financiero,Gran Contribuyente
l10n_co_fis_pos_tem_fin_int,l10n_co_chart_template_financiero,Internacional
l10n_co_fis_pos_tem_fin_gna,l10n_co_chart_template_financiero,Gran Contribuyente No Autorretenedor
l10n_co_fis_pos_tem_fin_sde,l10n_co_chart_template_financiero,Simplificado Declarante
l10n_co_fis_pos_tem_fin_cau,l10n_co_chart_template_financiero,Común Autoretenedor
l10n_co_fis_pos_tem_fin_cnd,l10n_co_chart_template_financiero,Común No Declarante
l10n_co_fis_pos_tem_fin_adm,l10n_co_chart_template_financiero,Interno Administracion
l10n_co_fis_pos_tem_fin_vta,l10n_co_chart_template_financiero,Interno Ventas
l10n_co_fis_pos_tem_fin_prd,l10n_co_chart_template_financiero,Interno Produccion
l10n_co_fis_pos_tem_sol_cmu,l10n_co_chart_template_solidario,Común
l10n_co_fis_pos_tem_sol_sim,l10n_co_chart_template_solidario,Simplificado
l10n_co_fis_pos_tem_sol_gco,l10n_co_chart_template_solidario,Gran Contribuyente
l10n_co_fis_pos_tem_sol_int,l10n_co_chart_template_solidario,Internacional
l10n_co_fis_pos_tem_sol_gna,l10n_co_chart_template_solidario,Gran Contribuyente No Autorretenedor
l10n_co_fis_pos_tem_sol_sde,l10n_co_chart_template_solidario,Simplificado Declarante
l10n_co_fis_pos_tem_sol_cau,l10n_co_chart_template_solidario,Común Autoretenedor
l10n_co_fis_pos_tem_sol_cnd,l10n_co_chart_template_solidario,Común No Declarante
l10n_co_fis_pos_tem_sol_adm,l10n_co_chart_template_solidario,Interno Administracion
l10n_co_fis_pos_tem_sol_vta,l10n_co_chart_template_solidario,Interno Ventas
l10n_co_fis_pos_tem_sol_prd,l10n_co_chart_template_solidario,Interno Produccion
l10n_co_fis_pos_tem_niif_fin_cmu,l10n_co_chart_template_niif_financiero,Común
l10n_co_fis_pos_tem_niif_fin_sim,l10n_co_chart_template_niif_financiero,Simplificado
l10n_co_fis_pos_tem_niif_fin_gco,l10n_co_chart_template_niif_financiero,Gran Contribuyente
l10n_co_fis_pos_tem_niif_fin_int,l10n_co_chart_template_niif_financiero,Internacional
l10n_co_fis_pos_tem_niif_fin_gna,l10n_co_chart_template_niif_financiero,Gran Contribuyente No Autorretenedor
l10n_co_fis_pos_tem_niif_fin_sde,l10n_co_chart_template_niif_financiero,Simplificado Declarante
l10n_co_fis_pos_tem_niif_fin_cau,l10n_co_chart_template_niif_financiero,Común Autoretenedor
l10n_co_fis_pos_tem_niif_fin_cnd,l10n_co_chart_template_niif_financiero,Común No Declarante
l10n_co_fis_pos_tem_niif_fin_adm,l10n_co_chart_template_niif_financiero,Interno Administracion
l10n_co_fis_pos_tem_niif_fin_vta,l10n_co_chart_template_niif_financiero,Interno Ventas
l10n_co_fis_pos_tem_niif_fin_prd,l10n_co_chart_template_niif_financiero,Interno Produccion
l10n_co_fis_pos_tem_niif_sol_cmu,l10n_co_chart_template_niif_solidario,Común
l10n_co_fis_pos_tem_niif_sol_sim,l10n_co_chart_template_niif_solidario,Simplificado
l10n_co_fis_pos_tem_niif_sol_gco,l10n_co_chart_template_niif_solidario,Gran Contribuyente
l10n_co_fis_pos_tem_niif_sol_int,l10n_co_chart_template_niif_solidario,Internacional
l10n_co_fis_pos_tem_niif_sol_gna,l10n_co_chart_template_niif_solidario,Gran Contribuyente No Autorretenedor
l10n_co_fis_pos_tem_niif_sol_sde,l10n_co_chart_template_niif_solidario,Simplificado Declarante
l10n_co_fis_pos_tem_niif_sol_cau,l10n_co_chart_template_niif_solidario,Común Autoretenedor
l10n_co_fis_pos_tem_niif_sol_cnd,l10n_co_chart_template_niif_solidario,Común No Declarante
l10n_co_fis_pos_tem_niif_sol_adm,l10n_co_chart_template_niif_solidario,Interno Administracion
l10n_co_fis_pos_tem_niif_sol_vta,l10n_co_chart_template_niif_solidario,Interno Ventas
l10n_co_fis_pos_tem_niif_sol_prd,l10n_co_chart_template_niif_solidario,Interno Produccion
