id,name,code_prefix,parent_id/id
l10n_co_accounting_group_1_1_efe_equ,Efectivo y equivalentes al efectivo,,
l10n_co_accounting_group_1_2_inv_cor,Inversiones corrientes,,
l10n_co_accounting_group_1_2_fin_cor,Otros activos financieros corrientes,,
l10n_co_accounting_group_1_3_cta_cob,Cuentas por cobrar,,
l10n_co_accounting_group_1_3_imp_dif,Activo Impuesto Diferido,,
l10n_co_accounting_group_1_3_otr_cob,Cuentas comerciales por cobrar y otras cuentas por cobrar corrientes,,
l10n_co_accounting_group_1_4_stk_cor,Inventarios corrientes,,
l10n_co_accounting_group_1_4_stk_noc,Inventarios no corrientes,,
l10n_co_accounting_group_1_5_bio_cor,Activos biológicos corrientes,,
l10n_co_accounting_group_1_5_pro_des,Propiedades planta y equipo,,
l10n_co_accounting_group_1_5_pro_inv,Propiedades de inversión,,
l10n_co_accounting_group_1_6_imp_cor,Activos por impuestos corrientes,,
l10n_co_accounting_group_1_7_fin_noc,Otros activos financieros no corrientes,,
l10n_co_accounting_group_1_8_pro_cor,Otras provisiones corrientes,,
l10n_co_accounting_group_1_9_act_int,Activos intangibles,,
l10n_co_accounting_group_1_9_art_cul,Otros Activos Arte y cultura,,
l10n_co_accounting_group_2_1_cta_pag,Cuentas por pagar comerciales y otras cuentas por pagar,,
l10n_co_accounting_group_2_2_fin_cor,Obligaciones financieras corrientes,,
l10n_co_accounting_group_2_2_obl_fin,Obligaciones financieras,,
l10n_co_accounting_group_2_3_ben_emp,Provisiones corrientes por beneficios a los empleados,,
l10n_co_accounting_group_2_4_imp_cor,Pasivos por impuestos corrientes,,
l10n_co_accounting_group_2_5_fin_noc,Otros Pasivos financieros no corrientes,,
l10n_co_accounting_group_2_6_nof_cor,Otros pasivos no financieros corrientes,,
l10n_co_accounting_group_3_1_cap_emi,Capital emitido,,
l10n_co_accounting_group_3_2_par_pat,Otras participaciones en el patrimonio,,
l10n_co_accounting_group_3_2_pri_emi,Prima de emisión,,
l10n_co_accounting_group_3_2_sup_rev,Superavit por revaluación,,
l10n_co_accounting_group_3_3_res_vas,Reservas,,
l10n_co_accounting_group_3_4_otr_res,Otras Reservas,,
l10n_co_accounting_group_3_5_plu_lia,Plusvalía,,
l10n_co_accounting_group_3_7_sup_cap,Inversión Suplementaria al Capital Asignado,,
l10n_co_accounting_group_3_8_art_cul,Otros Activos Arte y cultura (Patrimonio),,
l10n_co_accounting_group_3_9_pyg_acu,Ganancias (pérdidas) acumuladas,,
l10n_co_accounting_group_3_9_res_eje,Resultado del ejercicio,,
l10n_co_accounting_group_4_1_ing_ord,Ingresos de actividades ordinarias,,
l10n_co_accounting_group_4_2_ing_fin,Ingresos financieros,,
l10n_co_accounting_group_4_3_otr_ing,Otros ingresos,,
l10n_co_accounting_group_5_1_gas_adm,Gastos de administración,,
l10n_co_accounting_group_5_2_gas_ven,Gastos de ventas,,
l10n_co_accounting_group_5_3_gas_imp,Gasto por Impuestos,,
l10n_co_accounting_group_5_4_otr_gas,Otros gastos,,
l10n_co_accounting_group_6_1_cos_dis,Costos de distribución,,
l10n_co_accounting_group_6_2_cos_ven,Costo de ventas,,
l10n_co_accounting_group_6_3_cos_fin,Costos financieros,,
l10n_co_accounting_group_6_4_otr_cos,Otros Costos,,
