"id","chart_template_id:id","type_tax_use","name","description","sequence","amount","price_include","amount_type","account_id:id","refund_account_id:id"
"tax_tem_com_cree_4gt_bs","l10n_co_chart_template_comercial","sale","Cree 4‰\","Cree4‰\",1,"0.4","FALSE","percent","co_puc_com_236710","co_puc_com_236710"
"tax_tem_com_cree_4gt","l10n_co_chart_template_comercial","sale","Cree 4‰","Cree4‰",2,"0.4","FALSE","percent","co_puc_com_236710","co_puc_com_236710"
"tax_tem_com_cree_4gt_sl","l10n_co_chart_template_comercial","sale","Cree 4‰/","Cree4‰/",3,"-0.4","FALSE","percent","co_puc_com_135515","co_puc_com_135515"
"tax_tem_com_gmf_4gt_bs","l10n_co_chart_template_comercial","sale","Gmf 4‰\","Gmf4‰\",4,"-0.4","FALSE","percent","co_puc_com_236705","co_puc_com_236705"
"tax_tem_com_gmf_4gt","l10n_co_chart_template_comercial","sale","Gmf 4‰","Gmf4‰",5,"0.4","FALSE","percent","co_puc_com_236705","co_puc_com_236705"
"tax_tem_com_gmf_4gt_sl","l10n_co_chart_template_comercial","sale","Gmf 4‰/","Gmf4‰/",6,"0.4","FALSE","percent","co_puc_com_135515","co_puc_com_135515"
"tax_tem_com_aurta_3gt_bs","l10n_co_chart_template_comercial","sale","AuRta 3‰\","AuRta3‰\",7,"0.3","FALSE","percent","co_puc_com_236575","co_puc_com_236575"
"tax_tem_com_rterta_3gt","l10n_co_chart_template_comercial","sale","RteRta 3‰","RteRta3‰",8,"0.4","FALSE","percent","co_puc_com_236570","co_puc_com_236570"
"tax_tem_com_aurta_3gt_sl","l10n_co_chart_template_comercial","sale","AuRta 3‰/","AuRta3‰/",9,"-0.3","FALSE","percent","co_puc_com_135515","co_puc_com_135515"
"tax_tem_com_aurta_4gt_bs","l10n_co_chart_template_comercial","sale","AuRta 4‰\","AuRta4‰\",10,"0.4","FALSE","percent","co_puc_com_236575","co_puc_com_236575"
"tax_tem_com_rterta_4gt","l10n_co_chart_template_comercial","sale","RteRta 4‰","RteRta4‰",11,"0.4","FALSE","percent","co_puc_com_236570","co_puc_com_236570"
"tax_tem_com_aurta_4gt_sl","l10n_co_chart_template_comercial","sale","AuRta 4‰/","AuRta4‰/",12,"-0.4","FALSE","percent","co_puc_com_135515","co_puc_com_135515"
"tax_tem_com_aurta_6gt_bs","l10n_co_chart_template_comercial","sale","AuRta 6‰\","AuRta6‰\",13,"0.6","FALSE","percent","co_puc_com_236575","co_puc_com_236575"
"tax_tem_com_rterta_6gt","l10n_co_chart_template_comercial","sale","RteRta 6‰","RteRta6‰",14,"0.4","FALSE","percent","co_puc_com_236570","co_puc_com_236570"
"tax_tem_com_aurta_6gt_sl","l10n_co_chart_template_comercial","sale","AuRta 6‰/","AuRta6‰/",15,"-0.6","FALSE","percent","co_puc_com_135515","co_puc_com_135515"
"tax_tem_com_impco_4gt","l10n_co_chart_template_comercial","sale","Consumo 4%","Consumo4%",16,4,"FALSE","percent","co_puc_com_519560","co_puc_com_519560"
"tax_tem_com_impco_4lt","l10n_co_chart_template_comercial","purchase","Consumo 4%<","Consumo4%",17,4,"FALSE","percent","co_puc_com_519560","co_puc_com_519560"
"tax_tem_com_impco_4gt_inc","l10n_co_chart_template_comercial","sale","[Consumo 4%]","[Consumo4%]",18,4,"TRUE","percent","co_puc_com_519560","co_puc_com_519560"
"tax_tem_com_impco_4lt_inc","l10n_co_chart_template_comercial","purchase","[Consumo 4%]<","[Consumo4%]",19,4,"TRUE","percent","co_puc_com_519560","co_puc_com_519560"
"tax_tem_com_impco_8gt","l10n_co_chart_template_comercial","sale","Consumo 8%","Consumo8%",20,8,"FALSE","percent","co_puc_com_519560","co_puc_com_519560"
"tax_tem_com_impco_8lt","l10n_co_chart_template_comercial","purchase","Consumo 8%<","Consumo8%",21,8,"FALSE","percent","co_puc_com_519560","co_puc_com_519560"
"tax_tem_com_impco_8gt_inc","l10n_co_chart_template_comercial","sale","[Consumo 8%]","[Consumo8%]",22,8,"TRUE","percent","co_puc_com_519560","co_puc_com_519560"
"tax_tem_com_impco_8lt_inc","l10n_co_chart_template_comercial","purchase","[Consumo 8%]<","[Consumo8%]",23,8,"TRUE","percent","co_puc_com_519560","co_puc_com_519560"
"tax_tem_com_iva_5gt","l10n_co_chart_template_comercial","sale","Iva 5%","Iva5%",24,5,"FALSE","percent","co_puc_com_240805","co_puc_com_240805"
"tax_tem_com_iva_8gt","l10n_co_chart_template_comercial","sale","Iva 8%","Iva8%",25,8,"FALSE","percent","co_puc_com_240805","co_puc_com_240805"
"tax_tem_com_iva_5lt","l10n_co_chart_template_comercial","purchase","Iva 5%<","Iva5%",26,5,"FALSE","percent","co_puc_com_240805","co_puc_com_240805"
"tax_tem_com_iva_8lt","l10n_co_chart_template_comercial","purchase","Iva 8%<","Iva8%",27,8,"FALSE","percent","co_puc_com_240805","co_puc_com_240805"
"tax_tem_com_iva_5gt_inc","l10n_co_chart_template_comercial","sale","[Iva 5%]","[Iva5%]",28,5,"TRUE","percent","co_puc_com_240805","co_puc_com_240805"
"tax_tem_com_iva_8gt_inc","l10n_co_chart_template_comercial","sale","[Iva 8%]","[Iva8%]",29,8,"TRUE","percent","co_puc_com_240805","co_puc_com_240805"
"tax_tem_com_iva_5lt_inc","l10n_co_chart_template_comercial","purchase","[Iva 5%]<","[Iva5%]",30,5,"TRUE","percent","co_puc_com_240805","co_puc_com_240805"
"tax_tem_com_iva_8lt_inc","l10n_co_chart_template_comercial","purchase","[Iva 8%]<","[Iva8%]",31,8,"TRUE","percent","co_puc_com_240805","co_puc_com_240805"
"tax_tem_com_iva_16gt","l10n_co_chart_template_comercial","sale","Iva 16%","Iva16%",32,16,"FALSE","percent","co_puc_com_240805","co_puc_com_240805"
"tax_tem_com_iva_16lt","l10n_co_chart_template_comercial","purchase","Iva 16%<","Iva16%",33,16,"FALSE","percent","co_puc_com_240805","co_puc_com_240805"
"tax_tem_com_iva_16gt_inc","l10n_co_chart_template_comercial","sale","[Iva 16%]","[Iva16%]",34,16,"TRUE","percent","co_puc_com_240805","co_puc_com_240805"
"tax_tem_com_iva_16lt_inc","l10n_co_chart_template_comercial","purchase","[Iva 16%]<","[Iva16%]",35,16,"TRUE","percent","co_puc_com_240805","co_puc_com_240805"
"tax_tem_com_iva_19gt","l10n_co_chart_template_comercial","sale","Iva 19%","Iva19%",36,19,"FALSE","percent","co_puc_com_240805","co_puc_com_240805"
"tax_tem_com_iva_19sgt","l10n_co_chart_template_comercial","sale","Iva 19%s","Iva19%s",37,19,"FALSE","percent","co_puc_com_240805","co_puc_com_240805"
"tax_tem_com_iva_19lt","l10n_co_chart_template_comercial","purchase","Iva 19%<","Iva19%",38,19,"FALSE","percent","co_puc_com_240805","co_puc_com_240805"
"tax_tem_com_iva_19slt","l10n_co_chart_template_comercial","purchase","Iva 19%s<","Iva19%s",39,19,"FALSE","percent","co_puc_com_240805","co_puc_com_240805"
"tax_tem_com_iva_19lt_afrp","l10n_co_chart_template_comercial","purchase","Iva 19%afrp<","Iva19%afrp",40,19,"FALSE","percent","co_puc_com_135595","co_puc_com_135595"
"tax_tem_com_iva_19lt_afnrp","l10n_co_chart_template_comercial","purchase","Iva 19%afnrp<","Iva19%afnrp",41,19,"FALSE","percent","co_puc_com_152005","co_puc_com_152005"
"tax_tem_com_iva_19gt_inc","l10n_co_chart_template_comercial","sale","[Iva 19%]","[Iva19%]",42,19,"TRUE","percent","co_puc_com_240805","co_puc_com_240805"
"tax_tem_com_iva_19sgt_inc","l10n_co_chart_template_comercial","sale","[Iva 19%s]","[Iva19%s]",43,19,"TRUE","percent","co_puc_com_240805","co_puc_com_240805"
"tax_tem_com_iva_19slt_inc","l10n_co_chart_template_comercial","purchase","[Iva 19%s]<","[Iva19%s]",44,19,"TRUE","percent","co_puc_com_240805","co_puc_com_240805"
"tax_tem_com_iva_19lt_inc","l10n_co_chart_template_comercial","purchase","[Iva 19%]<","[Iva19%]",45,19,"TRUE","percent","co_puc_com_240805","co_puc_com_240805"
