id,position_id:id,tax_src_id:id,tax_dest_id:id,company_fiscal_position_id:id
l10n_co_fis_pos_tax_tem_com_sim_sim_rtefte3_lt,l10n_co_fis_pos_tem_com_sim,tax_tem_com_rtefte3_lt,,l10n_co_fis_pos_tem_com_sim
l10n_co_fis_pos_tax_tem_com_sim_sim_rtefte3_gt,l10n_co_fis_pos_tem_com_sim,tax_tem_com_rtefte3_gt,,l10n_co_fis_pos_tem_com_sim
l10n_co_fis_pos_tax_tem_com_sim_sde_rtefte3_lt,l10n_co_fis_pos_tem_com_sim,tax_tem_com_rtefte3_lt,,l10n_co_fis_pos_tem_com_sim
l10n_co_fis_pos_tax_tem_com_sim_sde_rtefte3_gt,l10n_co_fis_pos_tem_com_sim,tax_tem_com_rtefte3_gt,,l10n_co_fis_pos_tem_com_sim
l10n_co_fis_pos_tax_tem_com_sim_int_rtefte3_gt_bis,l10n_co_fis_pos_tem_com_int,tax_tem_com_rtefte3_gt,,l10n_co_fis_pos_tem_com_sim
l10n_co_fis_pos_tax_tem_com_sim_int_rtefte3_gt,l10n_co_fis_pos_tem_com_int,tax_tem_com_rtefte3_gt,,l10n_co_fis_pos_tem_com_sim
l10n_co_fis_pos_tax_tem_com_sim_gna_rtefte3_lt,l10n_co_fis_pos_tem_com_gna,tax_tem_com_rtefte3_lt,,l10n_co_fis_pos_tem_com_sim
l10n_co_fis_pos_tax_tem_com_sim_gna_rtefte3_gt,l10n_co_fis_pos_tem_com_gna,tax_tem_com_rtefte3_gt,,l10n_co_fis_pos_tem_com_sim
l10n_co_fis_pos_tax_tem_com_sim_gco_rtefte3_lt,l10n_co_fis_pos_tem_com_gco,tax_tem_com_rtefte3_lt,,l10n_co_fis_pos_tem_com_sim
l10n_co_fis_pos_tax_tem_com_sim_gco_rtefte3_gt,l10n_co_fis_pos_tem_com_gco,tax_tem_com_rtefte3_gt,,l10n_co_fis_pos_tem_com_sim
l10n_co_fis_pos_tax_tem_com_sim_cnd_rtefte3_lt,l10n_co_fis_pos_tem_com_cnd,tax_tem_com_rtefte3_lt,,l10n_co_fis_pos_tem_com_sim
l10n_co_fis_pos_tax_tem_com_sim_cnd_rtefte3_gt,l10n_co_fis_pos_tem_com_cnd,tax_tem_com_rtefte3_gt,,l10n_co_fis_pos_tem_com_sim
l10n_co_fis_pos_tax_tem_com_sim_cmu_rtefte3_lt,l10n_co_fis_pos_tem_com_cmu,tax_tem_com_rtefte3_lt,,l10n_co_fis_pos_tem_com_sim
l10n_co_fis_pos_tax_tem_com_sim_cmu_rtefte3_gt,l10n_co_fis_pos_tem_com_cmu,tax_tem_com_rtefte3_gt,,l10n_co_fis_pos_tem_com_sim
l10n_co_fis_pos_tax_tem_com_sim_cau_rtefte3_lt,l10n_co_fis_pos_tem_com_cau,tax_tem_com_rtefte3_lt,,l10n_co_fis_pos_tem_com_sim
l10n_co_fis_pos_tax_tem_com_sim_cau_rtefte3_gt,l10n_co_fis_pos_tem_com_cau,tax_tem_com_rtefte3_gt,,l10n_co_fis_pos_tem_com_sim
l10n_co_fis_pos_tax_tem_com_sde_sim_rtefte3_lt,l10n_co_fis_pos_tem_com_sim,tax_tem_com_rtefte3_lt,,l10n_co_fis_pos_tem_com_sde
l10n_co_fis_pos_tax_tem_com_sde_sim_rtefte3_gt,l10n_co_fis_pos_tem_com_sim,tax_tem_com_rtefte3_gt,,l10n_co_fis_pos_tem_com_sde
l10n_co_fis_pos_tax_tem_com_sde_sde_rtefte3_lt,l10n_co_fis_pos_tem_com_sde,tax_tem_com_rtefte3_lt,,l10n_co_fis_pos_tem_com_sde
l10n_co_fis_pos_tax_tem_com_sde_sde_rtefte3_gt,l10n_co_fis_pos_tem_com_sde,tax_tem_com_rtefte3_gt,,l10n_co_fis_pos_tem_com_sde
