id,code,name
co_diagnosis_A240,A240,Muermo
co_diagnosis_A00,A00,Colera
co_diagnosis_A000,A000,Colera Debido A Vibrio Cholerae O1 Biotipo Chol
co_diagnosis_A001,A001,Colera Debido A Vibrio Cholerae O1 Biotipo El T
co_diagnosis_A009,A009,Colera No Especificado
co_diagnosis_A01,A01,Fiebres Tifoidea Y Paratifoidea
co_diagnosis_A010,A010,Fiebre Tifoidea
co_diagnosis_A011,A011,Fiebre Paratifoidea A
co_diagnosis_A012,A012,Fiebre Paratifoidea B
co_diagnosis_A013,A013,Fiebre Paratifoidea C
co_diagnosis_A014,A014,Fiebre Paratifoidea No Especificada
co_diagnosis_A02,A02,Otras Infecciones Debidas A Salmonella
co_diagnosis_A020,A020,Enteritis Debida A Salmonella
co_diagnosis_A021,A021,Septicemia Debida A Salmonella
co_diagnosis_A022,A022,Infecciones Localizadas Debidas A Salmonella
co_diagnosis_A028,A028,Otras Infecciones Especificadas Como Debidas A S
co_diagnosis_A029,A029,Infeccion Debida A Salmonella No Especificada
co_diagnosis_A03,A03,Shigelosis
co_diagnosis_A030,A030,Shigelosis Debida A Shigella Dysenteriae
co_diagnosis_A031,A031,Shigelosis Debida A Shigella Flexneri
co_diagnosis_A032,A032,Shigelosis Debida A Shigella Boydii
co_diagnosis_A033,A033,Shigelosis Debida A Shigella Sonnei
co_diagnosis_A038,A038,Otras Shigelosis
co_diagnosis_A039,A039,Shigelosis De Tipo No Especificado
co_diagnosis_A04,A04,Otras Infecciones Intestinales Bacterianas
co_diagnosis_A040,A040,Infeccion Debida A Escherichia Coli Enteropatoge
co_diagnosis_A041,A041,Infeccion Debida A Escherichia Coli Enterotoxige
co_diagnosis_A042,A042,Infeccion Debida A Escherichia Coli Enteroinvasi
co_diagnosis_A043,A043,Infeccion Debida A Escherichia Coli Enterohemorr
co_diagnosis_A044,A044,Otras Infecciones Intestinales Debidas A Escheri
co_diagnosis_A045,A045,Enteritis Debida A Campylobacter
co_diagnosis_A046,A046,Enteritis Debida A Yersinia Enterocolitica
co_diagnosis_A047,A047,Enterocolitis Debida A Clostridium Difficile
co_diagnosis_A048,A048,Otras Infecciones Intestinales Bacterianas Espec
co_diagnosis_A049,A049,Infeccion Intestinal Bacteriana No Especificada
co_diagnosis_A05,A05,Otras Intoxicaciones Alimentarias Bacterianas
co_diagnosis_A050,A050,Intoxicacion Alimentaria Estafilococica
co_diagnosis_A051,A051,Botulismo
co_diagnosis_A052,A052,Intoxicacion Alimentaria Debida A Clostridium Pe
co_diagnosis_A053,A053,Intoxicacion Alimentaria Debida A Vibrio Parahae
co_diagnosis_A054,A054,Intoxicacion Alimentaria Debida A Bacillus Cereu
co_diagnosis_A058,A058,Otras Intoxicaciones Alimentarias Debidas A Bact
co_diagnosis_A059,A059,Intoxicacion Alimentaria Bacteriana No Especifi
co_diagnosis_A06,A06,Amebiasis
co_diagnosis_A060,A060,Disenteria Amebiana Aguda
co_diagnosis_A061,A061,Amebiasis Intestinal Cronica
co_diagnosis_A062,A062,Colitis Amebiana No Disenterica
co_diagnosis_A063,A063,Ameboma Intestinal
