id,industry_id:id,name,description
account_ciiu_111,rpi_mrp_s01,111,Cultivo de cereales (excepto arroz)
account_ciiu_112,rpi_mrp_s01,112,Cultivo de arroz.
account_ciiu_113,rpi_mrp_s01,113,Cultivo de hortalizas
account_ciiu_114,rpi_mrp_s01,114,Cultivo de tabaco.
account_ciiu_115,rpi_mrp_s01,115,Cultivo de plantas textiles.
account_ciiu_119,rpi_mrp_s01,119,Otros cultivos transitorios n.c.p.
account_ciiu_121,rpi_mrp_s01,121,Cultivo de frutas tropicales y subtropicales
account_ciiu_122,rpi_mrp_s01,122,Cultivo de platano y banano.
account_ciiu_123,rpi_mrp_s01,123,Cultivo de cafe.
account_ciiu_124,rpi_mrp_s01,124,Cultivo de caóa de azucar.
account_ciiu_125,rpi_mrp_s01,125,Cultivo de flor de corte.
account_ciiu_126,rpi_mrp_s01,126,Cultivo de palma para aceite (palma africana) y otros frutos
account_ciiu_127,rpi_mrp_s01,127,Cultivo de plantas con las que se preparan bebidas.
account_ciiu_128,rpi_mrp_s01,128,Cultivo de especias y de plantas aromaticas y medicinales.
account_ciiu_129,rpi_mrp_s01,129,Otros cultivos permanentes n.c.p.
account_ciiu_130,rpi_mrp_s01,130,Propagacion de plantas (actividades de los viveros
account_ciiu_141,rpi_mrp_s01,141,Cria de ganado bovino y bufalino.
account_ciiu_142,rpi_mrp_s01,142,Cria de caballos y otros equinos.
account_ciiu_143,rpi_mrp_s01,143,Cria de ovejas y cabras.
account_ciiu_144,rpi_mrp_s01,144,Cria de ganado porcino.
account_ciiu_145,rpi_mrp_s01,145,Cria de aves de corral.
account_ciiu_149,rpi_mrp_s01,149,Cria de otros animales n.c.p.
account_ciiu_150,rpi_mrp_s01,150,Explotacion mixta (agricola y pecuaria).
account_ciiu_161,rpi_mrp_s01,161,Actividades de apoyo a la agricultura
account_ciiu_162,rpi_mrp_s01,162,Actividades de apoyo a la ganaderóa
account_ciiu_163,rpi_mrp_s01,163,Actividades posteriores a la cosecha.
account_ciiu_164,rpi_mrp_s01,164,Tratamiento de semillas para propagación
account_ciiu_170,rpi_mrp_s01,170,Caza ordinaria y mediante trampas y actividades de servicios
account_ciiu_210,rpi_mrp_s02,210,Silvicultura y otras actividades forestales.
account_ciiu_220,rpi_mrp_s02,220,Extraccion de madera.
account_ciiu_230,rpi_mrp_s02,230,Recoleccion de productos forestales diferentes a la madera.
account_ciiu_240,rpi_mrp_s02,240,Servicios de apoyo a la silvicultura
account_ciiu_311,rpi_mrp_s03,311,Pesca maritima.
account_ciiu_312,rpi_mrp_s03,312,Pesca de agua dulce.
account_ciiu_321,rpi_mrp_s03,321,Acuicultura maritima.
account_ciiu_322,rpi_mrp_s03,322,Acuicultura de agua dulce.
account_ciiu_510,rpi_mrp_s05,510,Extracción de hulla (carbón de piedra)
account_ciiu_520,rpi_mrp_s05,520,Extracción de carbón lignito
account_ciiu_610,rpi_mrp_s06,610,Extracción de petróleo crudo
account_ciiu_620,rpi_mrp_s06,620,Extracción de gas natural
account_ciiu_710,rpi_mrp_s07,710,Extracción de minerales de hierro
account_ciiu_721,rpi_mrp_s07,721,Extracción de minerales de uranio y de torio
account_ciiu_722,rpi_mrp_s07,722,Extracción de oro y otros metales preciosos
account_ciiu_723,rpi_mrp_s07,723,Extracción de minerales de nóquel
account_ciiu_729,rpi_mrp_s07,729,Extracción de otros minerales metalóferos no ferrosos n.c.p.
account_ciiu_811,rpi_mrp_s08,811,Extracción de piedra
account_ciiu_812,rpi_mrp_s08,812,Extracción de arcillas de uso industrial
account_ciiu_820,rpi_mrp_s08,820,Extracción de esmeraldas
account_ciiu_891,rpi_mrp_s08,891,Extracción de minerales para la fabricación de abonos y productos quómicos
account_ciiu_892,rpi_mrp_s08,892,Extracción de halita (sal)
account_ciiu_899,rpi_mrp_s08,899,Extracción de otros minerales no metólicos n.c.p.
account_ciiu_910,rpi_mrp_s09,910,Actividades de apoyo para la extracción de petróleo y de gas natural
account_ciiu_990,rpi_mrp_s09,990,Actividades de apoyo para otras actividades de explotación de minas y canteras
account_ciiu_1002,rpi_mrp_s10,1002,Elaboracion de bebidas fermentadas no destiladas.
account_ciiu_1011,rpi_mrp_s10,1011,Procesamiento y conservación de carne y productos córnicos
account_ciiu_1012,rpi_mrp_s10,1012,Procesamiento y conservación de pescados
account_ciiu_1020,rpi_mrp_s10,1020,Procesamiento y conservacion de frutas
account_ciiu_1030,rpi_mrp_s10,1030,Elaboración de aceites y grasas de origen vegetal y animal
account_ciiu_1040,rpi_mrp_s10,1040,Elaboracion de productos lacteos.
account_ciiu_1051,rpi_mrp_s10,1051,Elaboración de productos de molineróa
account_ciiu_1052,rpi_mrp_s10,1052,Elaboración de almidones y productos derivados del almidón
account_ciiu_1061,rpi_mrp_s10,1061,Trilla de café
account_ciiu_1062,rpi_mrp_s10,1062,Descafeinado
account_ciiu_1063,rpi_mrp_s10,1063,Elaboración de otros derivados del café
account_ciiu_1071,rpi_mrp_s10,1071,Elaboración y refinación de azócar
account_ciiu_1072,rpi_mrp_s10,1072,Elaboración de panela
account_ciiu_1081,rpi_mrp_s10,1081,Elaboración de productos de panaderóa
account_ciiu_1082,rpi_mrp_s10,1082,Elaboración de cacao
account_ciiu_1083,rpi_mrp_s10,1083,Elaboración de macarrones
account_ciiu_1084,rpi_mrp_s10,1084,Elaboración de comidas y platos preparados
account_ciiu_1089,rpi_mrp_s10,1089,Elaboración de otros productos alimenticios n.c.p.
account_ciiu_1090,rpi_mrp_s10,1090,Elaboración de alimentos preparados para animales
account_ciiu_1101,rpi_mrp_s11,1101,Destilación
account_ciiu_1102,rpi_mrp_s11,1102,Elaboración de bebidas fermentadas no destiladas
account_ciiu_1103,rpi_mrp_s11,1103,Producción de malta
account_ciiu_1104,rpi_mrp_s11,1104,Elaboración de bebidas no alcohólicas
account_ciiu_1200,rpi_mrp_s12,1200,Elaboración de productos de tabaco
account_ciiu_1311,rpi_mrp_s13,1311,Preparación e hilatura de fibras textiles
account_ciiu_1312,rpi_mrp_s13,1312,Tejeduróa de productos textiles
account_ciiu_1313,rpi_mrp_s13,1313,Acabado de productos textiles
account_ciiu_1391,rpi_mrp_s13,1391,Fabricación de tejidos de punto y ganchillo
account_ciiu_1392,rpi_mrp_s13,1392,Confección de artóculos con materiales textiles
account_ciiu_1393,rpi_mrp_s13,1393,Fabricación de tapetes y alfombras para pisos
account_ciiu_1394,rpi_mrp_s13,1394,Fabricación de cuerdas
account_ciiu_1399,rpi_mrp_s13,1399,Fabricación de otros artóculos textiles n.c.p.
account_ciiu_1410,rpi_mrp_s14,1410,Confección de prendas de vestir
account_ciiu_1414,rpi_mrp_s14,1414,EXTRACCION DE ARENAS Y GRAVAS SILICEAS.
account_ciiu_1420,rpi_mrp_s14,1420,Fabricacion de articulos de piel.
account_ciiu_1430,rpi_mrp_s14,1430,Fabricacion de articulos de punto y ganchillo.
account_ciiu_1511,rpi_mrp_s15,1511,Curtido y recurtido de cueros
account_ciiu_1512,rpi_mrp_s15,1512,Fabricación de artóculos de viaje
account_ciiu_1513,rpi_mrp_s15,1513,Fabricación de artóculos de viaje
account_ciiu_1521,rpi_mrp_s15,1521,Fabricación de calzado de cuero y piel
account_ciiu_1522,rpi_mrp_s15,1522,Fabricación de otros tipos de calzado
account_ciiu_1523,rpi_mrp_s15,1523,Fabricación de partes del calzado
account_ciiu_1582,rpi_mrp_s15,1582,ELABORACION DE PRODUCTOS DE PANADERIA
account_ciiu_1610,rpi_mrp_s16,1610,Aserrado
account_ciiu_1620,rpi_mrp_s16,1620,Fabricación de hojas de madera para enchapado
account_ciiu_1630,rpi_mrp_s16,1630,Fabricación de partes y piezas de madera
account_ciiu_1640,rpi_mrp_s16,1640,Fabricación de recipientes de madera
account_ciiu_1690,rpi_mrp_s16,1690,Fabricación de otros productos de madera
account_ciiu_1701,rpi_mrp_s17,1701,Fabricación de pulpas (pastas) celulósicas
account_ciiu_1702,rpi_mrp_s17,1702,Fabricación de papel y cartón ondulado (corrugado)
account_ciiu_1709,rpi_mrp_s17,1709,Fabricación de otros artóculos de papel y cartón
account_ciiu_1811,rpi_mrp_s18,1811,Actividades de impresión
account_ciiu_1812,rpi_mrp_s18,1812,Actividades de servicios relacionados con la impresión
account_ciiu_1820,rpi_mrp_s18,1820,Producción de copias a partir de grabaciones originales
account_ciiu_1910,rpi_mrp_s19,1910,Fabricación de productos de hornos de coque
account_ciiu_1921,rpi_mrp_s19,1921,Fabricación de productos de la refinación del petróleo
account_ciiu_1922,rpi_mrp_s19,1922,Actividad de mezcla de combustibles
account_ciiu_1932,rpi_mrp_s19,1932,FABRICACION DE ARTICULOS DE VIAJE
account_ciiu_2011,rpi_mrp_s20,2011,Fabricación de sustancias y productos quómicos bósicos
account_ciiu_2012,rpi_mrp_s20,2012,Fabricación de abonos y compuestos inorgónicos nitrogenados
account_ciiu_2013,rpi_mrp_s20,2013,Fabricación de plósticos en formas primarias
account_ciiu_2014,rpi_mrp_s20,2014,Fabricación de caucho sintótico en formas primarias
account_ciiu_2020,rpi_mrp_s20,2020,FABRICACION DE HOJAS DE MADERA PARA ENCHAPADO
account_ciiu_2021,rpi_mrp_s20,2021,Fabricación de plaguicidas y otros productos quómicos de uso agropecuario
account_ciiu_2022,rpi_mrp_s20,2022,Fabricación de pinturas
account_ciiu_2023,rpi_mrp_s20,2023,Fabricación de jabones y detergentes
account_ciiu_2029,rpi_mrp_s20,2029,Fabricación de otros productos quómicos n.c.p.
account_ciiu_2030,rpi_mrp_s20,2030,Fabricación de fibras sintóticas y artificiales
account_ciiu_2090,rpi_mrp_s20,2090,FABRICACION DE OTROS PRODUCTOS DE MADERA
account_ciiu_2100,rpi_mrp_s21,2100,Fabricación de productos farmacóuticos
account_ciiu_2101,rpi_mrp_s21,2101,FABRIACION DE PASTAS CELULOCICAS
account_ciiu_2102,rpi_mrp_s21,2102,FABRICACION DE PAPEL Y CARTON ONDULADO
account_ciiu_2211,rpi_mrp_s22,2211,Fabricación de llantas y neumóticos de caucho
account_ciiu_2212,rpi_mrp_s22,2212,Reencauche de llantas usadas
account_ciiu_2219,rpi_mrp_s22,2219,Fabricación de formas básicas de caucho y otros productos de caucho n.c.p.
account_ciiu_2221,rpi_mrp_s22,2221,Fabricación de formas básicas de plóstico
account_ciiu_2229,rpi_mrp_s22,2229,Fabricación de artóculos de plóstico n.c.p.
account_ciiu_2231,rpi_mrp_s22,2231,Arte
account_ciiu_2232,rpi_mrp_s22,2232,FOTOMECANICA Y AALOGOS.
account_ciiu_2233,rpi_mrp_s22,2233,ENCUADRENACION.
account_ciiu_2310,rpi_mrp_s23,2310,Fabricación de vidrio y productos de vidrio
account_ciiu_2322,rpi_mrp_s23,2322,ELABORACION DE PRODUCTOS DERIVADOS DEL PETROLEO
account_ciiu_2391,rpi_mrp_s23,2391,Fabricación de productos refractarios
account_ciiu_2392,rpi_mrp_s23,2392,Fabricación de materiales de arcilla para la construcción
account_ciiu_2393,rpi_mrp_s23,2393,Fabricación de otros productos de cerómica y porcelana
account_ciiu_2394,rpi_mrp_s23,2394,Fabricación de cemento
account_ciiu_2395,rpi_mrp_s23,2395,Fabricación de artóculos de hormigón
account_ciiu_2396,rpi_mrp_s23,2396,Corte
account_ciiu_2399,rpi_mrp_s23,2399,Fabricación de otros productos minerales no metólicos n.c.p.
account_ciiu_2410,rpi_mrp_s24,2410,Industrias básicas de hierro y de acero
account_ciiu_2421,rpi_mrp_s24,2421,Industrias básicas de metales preciosos
account_ciiu_2424,rpi_mrp_s24,2424,FABRICACION DE JABONES Y DETERGENTES
account_ciiu_2429,rpi_mrp_s24,2429,Industrias básicas de otros metales no ferrosos
account_ciiu_2431,rpi_mrp_s24,2431,Fundición de hierro y de acero
account_ciiu_2432,rpi_mrp_s24,2432,Fundición de metales no ferrosos
account_ciiu_2511,rpi_mrp_s25,2511,Fabricación de productos metólicos para uso estructural
account_ciiu_2512,rpi_mrp_s25,2512,Fabricación de tanques
account_ciiu_2513,rpi_mrp_s25,2513,Fabricación de generadores de vapor
account_ciiu_2520,rpi_mrp_s25,2520,Fabricación de armas y municiones
account_ciiu_2591,rpi_mrp_s25,2591,Forja
account_ciiu_2592,rpi_mrp_s25,2592,Tratamiento y revestimiento de metales
account_ciiu_2593,rpi_mrp_s25,2593,Fabricación de artóculos de cuchilleróa
account_ciiu_2599,rpi_mrp_s25,2599,Fabricación de otros productos elaborados de metal n.c.p.
account_ciiu_2610,rpi_mrp_s26,2610,Fabricación de componentes y tableros electrónicos
account_ciiu_2620,rpi_mrp_s26,2620,Fabricación de computadoras y de equipo perifórico
account_ciiu_2630,rpi_mrp_s26,2630,Fabricación de equipos de comunicación
account_ciiu_2640,rpi_mrp_s26,2640,Fabricación de aparatos electrónicos de consumo
account_ciiu_2651,rpi_mrp_s26,2651,Fabricación de equipo de medición
account_ciiu_2652,rpi_mrp_s26,2652,Fabricación de relojes
account_ciiu_2660,rpi_mrp_s26,2660,Fabricación de equipo de irradiación y equipo electrónico de uso módico y terapóutico
